"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"03212","岩手県","","","江刺市","えさしし","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03213","岩手県","","","二戸市","にのへし","2006-01-01","二戸市(03213)、浄法寺町(03521)が合併し、二戸市を新設"
"03214","岩手県","","","八幡平市","はちまんたいし","2005-09-01","西根町(03304)、松尾村(03306)、安代町(03308)が合併し、八幡平市(03214)を新設"
"03215","岩手県","","","奥州市","おうしゅうし","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03216","岩手県","","","滝沢市","たきざわし","2014-01-01","滝沢村(03305)が滝沢市(03216)に市制施行"
"03304","岩手県","岩手郡","いわてぐん","西根町","にしねちょう","2005-09-01","西根町(03304)、松尾村(03306)、安代町(03308)が合併し、八幡平市(03214)を新設"
"03305","岩手県","岩手郡","いわてぐん","滝沢村","たきざわむら","2014-01-01","滝沢村(03305)が滝沢市(03216)に市制施行"
"03306","岩手県","岩手郡","いわてぐん","松尾村","まつおむら","2005-09-01","西根町(03304)、松尾村(03306)、安代町(03308)が合併し、八幡平市(03214)を新設"
"03307","岩手県","岩手郡","いわてぐん","玉山村","たまやまむら","2006-01-10","玉山村(03307)が盛岡市(03201)に編入"
"03308","岩手県","岩手郡","いわてぐん","安代町","あしろちょう","2002-04-01","二戸郡安代町(03523)が岩手郡安代町(03308)に郡の区域変更"
"03308","岩手県","岩手郡","いわてぐん","安代町","あしろちょう","2005-09-01","西根町(03304)、松尾村(03306)、安代町(03308)が合併し、八幡平市(03214)を新設"
"03341","岩手県","稗貫郡","ひえぬきぐん","大迫町","おおはさままち","2006-01-01","花巻市(03205)、大迫町(03341)、石鳥谷町(03342)、東和町(03361)が合併し、花巻市を新設
稗貫郡(03340)の廃止"
"03342","岩手県","稗貫郡","ひえぬきぐん","石鳥谷町","いしどりやちょう","2006-01-01","花巻市(03205)、大迫町(03341)、石鳥谷町(03342)、東和町(03361)が合併し、花巻市を新設
稗貫郡(03340)の廃止"
"03361","岩手県","和賀郡","わがぐん","東和町","とうわちょう","2006-01-01","花巻市(03205)、大迫町(03341)、石鳥谷町(03342)、東和町(03361)が合併し、花巻市を新設
稗貫郡(03340)の廃止"
"03363","岩手県","和賀郡","わがぐん","湯田町","ゆだまち","2005-11-01","湯田町(03363)、沢内村(03365)が合併し、西和賀町(03366)を新設"
"03365","岩手県","和賀郡","わがぐん","沢内村","さわうちむら","2005-11-01","湯田町(03363)、沢内村(03365)が合併し、西和賀町(03366)を新設"
"03366","岩手県","和賀郡","わがぐん","西和賀町","にしわがまち","2005-11-01","湯田町(03363)、沢内村(03365)が合併し、西和賀町(03366)を新設"
"03382","岩手県","胆沢郡","いさわぐん","前沢町","まえさわちょう","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03383","岩手県","胆沢郡","いさわぐん","胆沢町","いさわちょう","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03384","岩手県","胆沢郡","いさわぐん","衣川村","ころもがわむら","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03401","岩手県","西磐井郡","にしいわいぐん","花泉町","はないずみまち","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03421","岩手県","東磐井郡","ひがしいわいぐん","大東町","だいとうちょう","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03422","岩手県","東磐井郡","ひがしいわいぐん","藤沢町","ふじさわちょう","2011-09-26","東磐井郡(03420)の廃止
藤沢町(03422)が一関市(03209)に編入"
"03423","岩手県","東磐井郡","ひがしいわいぐん","千厩町","せんまやちょう","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03424","岩手県","東磐井郡","ひがしいわいぐん","東山町","ひがしやまちょう","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03425","岩手県","東磐井郡","ひがしいわいぐん","室根村","むろねむら","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03426","岩手県","東磐井郡","ひがしいわいぐん","川崎村","かわさきむら","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03442","岩手県","気仙郡","けせんぐん","三陸町","さんりくちょう","2001-11-15","三陸町(03442)が大船渡市(03203)に編入"
"03462","岩手県","上閉伊郡","かみへいぐん","宮守村","みやもりむら","2005-10-01","遠野市(03208)、宮守村(03462)が合併し、遠野市を新設"
